2758	See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	NOT	{'PROFANITY': 0.044219293, 'TOXICITY': 0.07361197, 'FLIRTATION': 0.4170132, 'INSULT': 0.051255506, 'SEVERE_TOXICITY': 0.036545854, 'THREAT': 0.06380379, 'SEXUALLY_EXPLICIT': 0.12258111, 'IDENTITY_ATTACK': 0.11558867}
9845	Are you one of the 74 stalkers watching my talkpage? Why?!	Jsi jeden z 74 sledovatelů , kteří sledují mou stránku ? Proč ? !	[0, 1, 0]	NOT	{'TOXICITY': 0.1116259, 'IDENTITY_ATTACK': 0.039274905, 'FLIRTATION': 0.44972876, 'INSULT': 0.06856068, 'PROFANITY': 0.052335203, 'SEVERE_TOXICITY': 0.04291632, 'SEXUALLY_EXPLICIT': 0.13603614, 'THREAT': 0.06296749}
38	I believe we now have a fully-referenced article.	Domnívám se , že nyní máme plně odkazovaný článek .	[0, 0, 0]	NOT	{'THREAT': 0.06400991, 'TOXICITY': 0.06750784, 'PROFANITY': 0.031691574, 'SEVERE_TOXICITY': 0.024246609, 'SEXUALLY_EXPLICIT': 0.03690987, 'IDENTITY_ATTACK': 0.042415496, 'FLIRTATION': 0.21683884, 'INSULT': 0.050689936}
9117	FUCK YOU, GO SUCK SOME DOG COCK! YOU FUCKING DICK LICKERS!	Do prdele , pojď sehnat nějakou děvku , ty seš děvka !	[1, 1, 1]	ERR	{'THREAT': 0.71001196, 'SEVERE_TOXICITY': 0.969677, 'TOXICITY': 0.9897058, 'PROFANITY': 0.9835082, 'SEXUALLY_EXPLICIT': 0.97458434, 'IDENTITY_ATTACK': 0.7385616, 'FLIRTATION': 0.88456833, 'INSULT': 0.94506764}
7915	NARS, SnePS and polyscheme seem to be among the more advanced projects not yet listed on this page.	NARS , SnePS a polyscheme se zdá být mezi pokročilejšími projekty , které ještě nejsou uvedeny na této stránce .	[0, 0, 0]	NOT	{'SEXUALLY_EXPLICIT': 0.11669381, 'FLIRTATION': 0.43624747, 'THREAT': 0.08088926, 'SEVERE_TOXICITY': 0.040830303, 'INSULT': 0.060838107, 'TOXICITY': 0.07839465, 'IDENTITY_ATTACK': 0.0770644, 'PROFANITY': 0.042377766}
9017	Not that I care because she is still smoking hot and I want to tit fuck her and cum on her face.	Ne , že by mě to zajímalo , protože pořád kouří horko a já bych ji chtěl vykouřit a vykouřit na tváři .	[1, 1, 1]	ERR	{'THREAT': 0.73867637, 'TOXICITY': 0.9495585, 'FLIRTATION': 0.91981745, 'SEVERE_TOXICITY': 0.8416842, 'IDENTITY_ATTACK': 0.40302998, 'PROFANITY': 0.93690646, 'SEXUALLY_EXPLICIT': 0.9822457, 'INSULT': 0.6356477}
5103	What? Just read this now. What? Please Fred, what is this about? How are these editors and what is there issue?	Prosím , Frede , o čem to je ? Jak jsou tihle editori a co to je problém ?	[0, 0, 3]	NOT	{'SEVERE_TOXICITY': 0.018410953, 'INSULT': 0.0804058, 'FLIRTATION': 0.1758627, 'IDENTITY_ATTACK': 0.023844754, 'THREAT': 0.026524391, 'SEXUALLY_EXPLICIT': 0.011044647, 'PROFANITY': 0.020001236, 'TOXICITY': 0.08705311}
1296	please delete my account i dont respect wikipedia anymore. suck ittttttt!!!!	Prosím , vymazat můj účet I dont respektovat wikipedia více . suck Wwwttttt ! ! ! !	[1, 0, 1]	ERR	{'INSULT': 0.8165069, 'IDENTITY_ATTACK': 0.32061988, 'SEXUALLY_EXPLICIT': 0.8478105, 'PROFANITY': 0.87329173, 'THREAT': 0.42003578, 'FLIRTATION': 0.56458974, 'SEVERE_TOXICITY': 0.76382405, 'TOXICITY': 0.9156528}
6017	YOU ARE A FAT, GEEKY PRICK WHO HAS NOTHING TO DO ON A WEEKEND BUT MONITOR WIKIPEDIA. I HOPE YOU SUFFOCATE UNDER YOUR OWN SADNESS.	Jsi dědeček , úchylný hajzl , který nemá na víkendu nic jiného , než pozorovatele WIKIPEDIA .	[1, 1, 1]	ERR	{'SEVERE_TOXICITY': 0.87427866, 'IDENTITY_ATTACK': 0.57000667, 'PROFANITY': 0.7988787, 'SEXUALLY_EXPLICIT': 0.39143187, 'THREAT': 0.637473, 'INSULT': 0.9481788, 'TOXICITY': 0.9480856, 'FLIRTATION': 0.552576}
8573	Also just noticed that you edited my userpage to add contributions. Thanks, my pet! *glomples*	Také jsem si všiml , že jste upravili moji uživatelskou stránku , abyste přidali příspěvky . Díky , můj mazlíček ! *glomples*	[0, 0, 0]	NOT	{'INSULT': 0.04783643, 'SEVERE_TOXICITY': 0.030130824, 'FLIRTATION': 0.36517376, 'THREAT': 0.04559861, 'PROFANITY': 0.07740475, 'TOXICITY': 0.07866865, 'SEXUALLY_EXPLICIT': 0.07437736, 'IDENTITY_ATTACK': 0.027017444}
4951	Man, you are another wikitard aren't you. What pusses.	Ty jsi další wikitard , že ?	[1, 1, 1]	ERR	{'PROFANITY': 0.783563, 'FLIRTATION': 0.5579928, 'THREAT': 0.18566656, 'SEXUALLY_EXPLICIT': 0.7407407, 'TOXICITY': 0.80651397, 'INSULT': 0.8675268, 'SEVERE_TOXICITY': 0.6037596, 'IDENTITY_ATTACK': 0.2921004}
2823	preferi'm gonna keep vandaling as much as it want especially your pageto	preferi budu pokračovat v vandaling tak moc , jak to chce , zejména vaše stránky na	[3, 1, 1]	ERR	{'THREAT': 0.5725408, 'TOXICITY': 0.5521883, 'INSULT': 0.43359244, 'SEVERE_TOXICITY': 0.40683112, 'FLIRTATION': 0.6480531, 'IDENTITY_ATTACK': 0.22625628, 'SEXUALLY_EXPLICIT': 0.53208256, 'PROFANITY': 0.5089595}
2392	whole nickers comment, you deserved it for being so stupid	celý nickers komentář , sis to zasloužil za to , že jsi tak hloupý	[0, 0, 0]	NOT	{'PROFANITY': 0.783563, 'FLIRTATION': 0.21792293, 'IDENTITY_ATTACK': 0.3965717, 'SEVERE_TOXICITY': 0.6081737, 'THREAT': 0.35960796, 'SEXUALLY_EXPLICIT': 0.086411044, 'TOXICITY': 0.93232936, 'INSULT': 0.9481788}
8485	Sales Why isnt the fact that they are the 3rd best selling hip hop/rap act of all time(only beaten by 2pac and eminem) here.	Prodej Proč není skutečnost , že jsou třetím nejlepším prodejem hip hop / rap aktu všech dob ( pouze poražen 2pac a eminem ) zde .	[0, 0, 1]	NOT	{'THREAT': 0.41010258, 'TOXICITY': 0.14960052, 'FLIRTATION': 0.39876786, 'PROFANITY': 0.06276109, 'IDENTITY_ATTACK': 0.17065445, 'INSULT': 0.10693609, 'SEVERE_TOXICITY': 0.08678518, 'SEXUALLY_EXPLICIT': 0.098728664}
